Order#,Invoice,Date/Time,"Bill To",Outlet,ProductID,Model,ProductName,Option,Brand,Department,Supplier,Price,Qty,Line,Tax,Avg.Cost(AUD),L.Cost(AUD),GP%(Avg.Cost),GP%(L.Cost),"Cash Register","Sales Person",AccountManager,RetailSalesManager,AgentCommission,ItemBarcode,MerchantRef,Status,IsDiscounted,SystemPrice
85508,855080000000,"2024-08-01 00:41:01","William Wang","QV MELBOURNE",431,ADLV-19SS-HDBKBF-SNW,"ADLV BABY FACE HOODIE BLACK SNOW",1,"BABY FACE",HOODIES,,189.00,1.000,189.00,17.18,89.51,89.93,47.90,47.66,,"Website Admin",,,0.00,8800000015088,,Completed,No,189.00
85509,855090000000,"2024-08-01 10:02:57","Patiphan  Paengsai",CHATSWOOD,2664,ADLV-24SS-SSAZFR-BLK,"DOODLE FUZZY RABBIT SHORT SLEEVE T-SHIRT BLACK",1,"ART WORK",T-SHIRT,,109.00,1.000,109.00,9.91,45.75,45.75,53.83,53.83,,"Website Admin",,,0.00,8809977038427,,Shipped,No,109.00
85510,855100000000,"2024-08-01 10:58:31","Olive S","SYDNEY CBD",2674,ADLV-24SS-SSAFFR-CRM,"FUZZY FONT RABBIT SHORT SLEEVE T-SHIRT CREAM",1,"ART WORK",T-SHIRT,,109.00,1.000,109.00,9.91,45.75,45.75,53.83,53.83,"Sydney CBD 02","Bao T",,,0.00,8809977038588,,Completed,No,109.00
85511,855110000000,"2024-08-01 11:02:44","Reeva Cahyadi",CHATSWOOD,2546,ADLV-24SS-PTPLBS-MEL,"BASIC LOGO NEEDLEWORK SWEAT PANTS MELANGE",2,"LOGO PLAY","BOTTOMS (LONG)",,159.00,1.000,159.00,14.45,73.43,73.43,49.20,49.20,"Chatswood left","Ern Yi Te",,,0.00,8809977034146,,Completed,No,159.00
85511,855110000000,"2024-08-01 11:02:44","Reeva Cahyadi",CHATSWOOD,2259,ADLV-23SS-PTLESL-IVY,"ESSENTIAL LOGO SEASON2 TRAINING PANTS IVORY",3,"LOGO PLAY","BOTTOMS (LONG)",,169.00,1.000,169.00,15.36,81.68,81.68,46.84,46.84,"Chatswood left","Ern Yi Te",,,0.00,8809902205115,,Completed,No,169.00
85512,855120000000,"2024-08-01 11:17:00","Cash Sales SYDNEY CBD","SYDNEY CBD",2201,ADLV-23FW-PTLSAQ-PNK,"NEW SYMBOL APPLIQUE PANTS PINK",1,"ADLV X JEONGHAN","BOTTOMS (LONG)",,209.00,1.000,209.00,19.00,98.18,98.18,48.33,48.33,"Sydney CBD 02","Bao T",,"Nicky Lee",0.00,8809932246881,,Completed,No,209.00
85512,855120000000,"2024-08-01 11:17:00","Cash Sales SYDNEY CBD","SYDNEY CBD",0,13597-PRODUCT-DISCOUNT,"L-SALES [20%]<br /> - NEW SYMBOL APPLIQUE PANTS PINK",,,"BOTTOMS (LONG)",,-41.80,1.000,-41.80,-3.80,,,N/A,N/A,"Sydney CBD 02","Bao T",,"Nicky Lee",0.00,,,Completed,No,
85512,855120000000,"2024-08-01 11:17:00","Cash Sales SYDNEY CBD","SYDNEY CBD",2667,ADLV-24SS-SSATHB-CRM,"CRAYON THREE BEAR ARTWORK SHORT SLEEVE T-SHIRT CREAM",1,"ART WORK",T-SHIRT,,109.00,1.000,109.00,9.91,45.75,45.75,53.83,53.83,"Sydney CBD 02","Bao T",,"Nicky Lee",0.00,8809977038502,,Completed,No,109.00
85513,855130000000,"2024-08-01 11:37:48","Wan Ting Wee","QV MELBOURNE",2250,ADLV-23FW-OPLHNQ-CHA,"BASIC LOGO NON QUILTING HOODED DUCK DOWN PARKA CHARCOAL",0,"LOGO PLAY","DUCK DOWN JACKETS",,499.00,1.000,499.00,45.36,238.43,238.43,47.44,47.44,"QV Store Laptop","Ling Yao",,,0.00,8809932243002,,Completed,No,499.00
85513,855130000000,"2024-08-01 11:37:48","Wan Ting Wee","QV MELBOURNE",0,13584-PRODUCT-DISCOUNT,"L-SALES [20%]<br /> - BASIC LOGO NON QUILTING HOODED DUCK DOWN PARKA CHARCOAL",,,"DUCK DOWN JACKETS",,-99.80,1.000,-99.80,-9.07,,,N/A,N/A,"QV Store Laptop","Ling Yao",,,0.00,,,Completed,No,
85514,855140000000,"2024-08-01 11:38:33","Cash Sales SYDNEY CBD","SYDNEY CBD",2522,ADLV-24SS-ACKYFR-BLK,"FUZZY RABBIT DOLL KEY RING BLACK",,"ART WORK",ACCESSORIES,,69.00,1.000,69.00,6.27,32.18,32.18,48.70,48.70,"Sydney CBD 02","Bao T",,"Nicky Lee",0.00,8809977034344,,Completed,No,69.00
85515,855150000000,"2024-08-01 11:40:56","Victoria Hui","QV MELBOURNE",2541,ADLV-24SS-ZPPLBS-BLK,"BASIC LOGO NEEDLEWORK HOODIE ZIP UP BLACK",2,"LOGO PLAY","ZIP-UP JACKET/HOODIE",,209.00,1.000,209.00,19.00,98.18,98.18,48.33,48.33,"QV Store Laptop","Ling Yao",,,0.00,8809977033996,,Completed,No,209.00
85516,855160000000,"2024-08-01 11:52:24","Devi Natalia",CHATSWOOD,2671,ADLV-24SS-SSARTB-BLK,"RABBIT T-SHIRT BEAR SHORT SLEEVE T-SHIRT BLACK",2,"ART WORK",T-SHIRT,,109.00,1.000,109.00,9.91,45.75,45.75,53.83,53.83,"Chatswood left","Ern Yi Te",,,0.00,8809977038557,,Completed,No,109.00
85517,855170000000,"2024-08-01 11:59:22","Lexie Nguyen","QV MELBOURNE",2685,ADLV-24SS-ACLAES-RED,"AE LOGO SOCKS RED",,"LOGO PLAY",SOCKS,,19.00,1.000,19.00,1.73,7.68,7.68,55.54,55.54,"QV Store Laptop","Ling Yao","ADLV QV","ADLV QV",0.00,8809977035280,,Completed,No,19.00
