Order_ID,Date,Time,Outlet,State,Model,ProductID,ProductName,Option,ItemBarcode,Brand,Department,Price,Qty,Revenue,Sales Person,Platform,Tax,Avg.Cost(AUD),L.Cost(AUD),GP%(Avg.Cost),GP%(L.Cost),Profit
82743,2024-07-01,09:33:42,CHADSTONE,VIC,ADLV-22SS-SSAILT-WHT,1600,I LOVE TEDDY BEAR SHORT SLEEVE T-SHIRT WHITE,1.0,8809860426775,ART WORK,T-SHIRT,109.0,1.0,109.0,Vy T,Offline,9.91,48.68,48.68,50.87,50.87,60.32
82743,2024-07-01,09:33:42,CHADSTONE,VIC,12706-PRODUCT-DISCOUNT,0,20% - EOFS 2024<br /> - I LOVE TEDDY BEAR SHORT SLEEVE T-SHIRT WHITE,1.3452161442327393,NA,NA,T-SHIRT,-21.8,1.0,-21.8,Vy T,Offline,-1.98,72.08029741763136,73.53508931698775,NA,NA,79.89970928196146
82744,2024-07-01,10:23:38,SYDNEY CBD,NSW,ADLV-24SS-SSARTB-CRM,2672,RABBIT T-SHIRT BEAR SHORT SLEEVE T-SHIRT CREAM,1.0,8809977038526,ART WORK,T-SHIRT,109.0,1.0,109.0,Vy Le,Offline,9.91,45.75,45.75,53.83,53.83,63.25
82745,2024-07-01,10:34:06,CHATSWOOD,NSW,ADLV-23FW-SSAFZB-LPK,2257,FUZZY BEAR SHORT SLEEVE T-SHIRT LIGHT PINK,1.0,8809932245938,ART WORK,T-SHIRT,109.0,1.0,109.0,Ern Yi Te,Offline,9.91,48.68,48.68,50.87,50.87,60.32
82745,2024-07-01,10:34:06,CHATSWOOD,NSW,12950-PRODUCT-DISCOUNT,0,10% - EOFS 2024<br /> - FUZZY BEAR SHORT SLEEVE T-SHIRT LIGHT PINK,1.3452161442327393,NA,NA,T-SHIRT,-10.9,1.0,-10.9,Ern Yi Te,Offline,-0.99,72.08029741763136,73.53508931698775,NA,NA,79.89970928196146
82745,2024-07-01,10:34:06,CHATSWOOD,NSW,ADLV-24SS-SSABFD-PNK,2670,BEAR FRIENDS DOODLE ARTWORK SHORT SLEEVE T-SHIRT PINK,1.0,8809977038229,ART WORK,T-SHIRT,109.0,1.0,109.0,Ern Yi Te,Offline,9.91,45.75,45.75,53.83,53.83,63.25
82746,2024-07-01,10:45:53,CHADSTONE,VIC,ADLV-24SS-SSBKBF-BDH,2480,BABY FACE BEAR DOLL HUG SHORT SLEEVE T-SHIRT BLACK,2.0,8809977035044,BABY FACE,T-SHIRT,109.0,1.0,109.0,Website Admin,Online,9.91,48.68,48.68,50.87,50.87,60.32
82746,2024-07-01,10:45:53,CHADSTONE,VIC,13038-PRODUCT-DISCOUNT,0,10% - EOFS 2024<br /> - BABY FACE BEAR DOLL HUG SHORT SLEEVE T-SHIRT BLACK,1.3452161442327393,NA,NA,T-SHIRT,-10.9,1.0,-10.9,Website Admin,Online,-0.99,72.08029741763136,73.53508931698775,NA,NA,79.89970928196146
82746,2024-07-01,10:45:53,CHADSTONE,VIC,ADLV-24SS-SSBKBF-BDH,2480,BABY FACE BEAR DOLL HUG SHORT SLEEVE T-SHIRT BLACK,1.0,8809977035037,BABY FACE,T-SHIRT,109.0,1.0,109.0,Website Admin,Online,9.91,48.68,48.68,50.87,50.87,60.32
82746,2024-07-01,10:45:53,CHADSTONE,VIC,13038-PRODUCT-DISCOUNT,0,10% - EOFS 2024<br /> - BABY FACE BEAR DOLL HUG SHORT SLEEVE T-SHIRT BLACK,1.3452161442327393,NA,NA,T-SHIRT,-10.9,1.0,-10.9,Website Admin,Online,-0.99,72.08029741763136,73.53508931698775,NA,NA,79.89970928196146
82747,2024-07-01,11:10:25,QV MELBOURNE,VIC,ADLV-22SS-SSAILT-WHT,1600,I LOVE TEDDY BEAR SHORT SLEEVE T-SHIRT WHITE,1.0,8809860426775,ART WORK,T-SHIRT,109.0,1.0,109.0,LINDA S,Offline,9.91,48.68,48.68,50.87,50.87,60.32
82747,2024-07-01,11:10:25,QV MELBOURNE,VIC,12706-PRODUCT-DISCOUNT,0,20% - EOFS 2024<br /> - I LOVE TEDDY BEAR SHORT SLEEVE T-SHIRT WHITE,1.3452161442327393,NA,NA,T-SHIRT,-21.8,1.0,-21.8,LINDA S,Offline,-1.98,72.08029741763136,73.53508931698775,NA,NA,79.89970928196146
82748,2024-07-01,11:53:39,QV MELBOURNE,VIC,ADLV-22FW-SSWHBF-NPJ,1752,BABY FACE NATURE PATTERN JACKET BOY SHORT SLEEVE T-SHIRT WHITE,2.0,8809902201544,BABY FACE,T-SHIRT,109.0,1.0,109.0,LINDA S,Offline,9.91,48.68,48.68,50.87,50.87,60.32
82749,2024-07-01,11:54:56,THE GLEN,VIC,ADLV-23FW-ZPCLHK-LIM,2152,ADLV X SANRIO HELLO KITTY LETTERING CROP HOODIE ZIP UP LIME,1.0,8809932246102,ADLV X HELLO KITTY,ZIP-UP JACKET/HOODIE,209.0,1.0,209.0,Michelle S,Offline,19.0,98.18,98.18,48.33,48.33,110.82
82749,2024-07-01,11:54:56,THE GLEN,VIC,12679-PRODUCT-DISCOUNT,0,40% - EOFS 2024<br /> - ADLV X SANRIO HELLO KITTY LETTERING CROP HOODIE ZIP UP LIME,1.3452161442327393,NA,NA,ZIP-UP JACKET/HOODIE,-83.6,1.0,-83.6,Michelle S,Offline,-7.6,72.08029741763136,73.53508931698775,NA,NA,79.89970928196146
82750,2024-07-01,12:00:15,QV MELBOURNE,VIC,ADLV-24SS-SSAZFR-BLK,2664,DOODLE FUZZY RABBIT SHORT SLEEVE T-SHIRT BLACK,1.0,8809977038427,ART WORK,T-SHIRT,109.0,1.0,109.0,LINDA S,Offline,9.91,45.75,45.75,53.83,53.83,63.25
82751,2024-07-01,12:05:12,CHADSTONE,VIC,ADLV-19SS-HDBKBF-DN3,428,ADLV BABY FACE HOODIE BLACK DONUT 3,2.0,8800000015033,BABY FACE,HOODIES,189.0,1.0,189.0,Vy T,Offline,17.18,89.84,89.93,47.71,47.66,99.07
82751,2024-07-01,12:05:12,CHADSTONE,VIC,12689-PRODUCT-DISCOUNT,0,20% - EOFS 2024<br /> - ADLV BABY FACE HOODIE BLACK DONUT 3,1.3452161442327393,NA,NA,HOODIES,-37.8,1.0,-37.8,Vy T,Offline,-3.44,72.08029741763136,73.53508931698775,NA,NA,79.89970928196146
82751,2024-07-01,12:05:12,CHADSTONE,VIC,ADLV-23FW-PTDLPN-BLK,2316,ADLV LOGO PATTERN DENIM PANTS BLACK,1.0,8809932244719,LOGO PLAY,BOTTOM (JEANS),279.0,1.0,279.0,Vy T,Offline,25.36,131.18,131.18,48.28,48.28,147.82
82751,2024-07-01,12:05:12,CHADSTONE,VIC,12784-PRODUCT-DISCOUNT,0,20% - EOFS 2024<br /> - ADLV LOGO PATTERN DENIM PANTS BLACK,1.3452161442327393,NA,NA,BOTTOM (JEANS),-55.8,1.0,-55.8,Vy T,Offline,-5.07,72.08029741763136,73.53508931698775,NA,NA,79.89970928196146
82752,2024-07-01,12:05:55,CHATSWOOD,NSW,ADLV-23FW-SWATHK-LIM,2139,ADLV X SANRIO HELLO KITTY ARTWORK SWEAT SHIRT LIME,1.0,8809932246225,ADLV X HELLO KITTY,SWEATER,159.0,1.0,159.0,Ern Yi Te,Offline,14.45,73.43,73.43,49.20,49.20,85.57
82752,2024-07-01,12:05:55,CHATSWOOD,NSW,12574-PRODUCT-DISCOUNT,0,60% - EOFS 2024<br /> - ADLV X SANRIO HELLO KITTY ARTWORK SWEAT SHIRT LIME,1.3452161442327393,NA,NA,SWEATER,-95.4,1.0,-95.4,Ern Yi Te,Offline,-8.67,72.08029741763136,73.53508931698775,NA,NA,79.89970928196146
82753,2024-07-01,12:33:56,SYDNEY CBD,NSW,ADLV-24SS-SSATHB-BLK,2666,CRAYON THREE BEAR ARTWORK SHORT SLEEVE T-SHIRT BLACK,1.0,8809977038489,ART WORK,T-SHIRT,109.0,1.0,109.0,Victoria L,Offline,9.91,45.75,45.75,53.83,53.83,63.25
82753,2024-07-01,12:33:56,SYDNEY CBD,NSW,ADLV-24SS-SSABDF-BLK,2658,BEAR DOLL FUZZY RABBIT SHORT SLEEVE T-SHIRT BLACK,1.0,8809977038328,ART WORK,T-SHIRT,109.0,1.0,109.0,Victoria L,Offline,9.91,45.75,45.75,53.83,53.83,63.25
82754,2024-07-01,12:36:05,CHATSWOOD,NSW,ADLV-23SS-SSBKZR-NVY,2030,FUZZY RABBIT SHORT SLEEVE T-SHIRT NAVY,1.0,8809932240650,ART WORK,T-SHIRT,109.0,1.0,109.0,Ern Yi Te,Offline,9.91,48.68,48.68,50.87,50.87,60.32
82754,2024-07-01,12:36:05,CHATSWOOD,NSW,12880-PRODUCT-DISCOUNT,0,10% - EOFS 2024<br /> - FUZZY RABBIT SHORT SLEEVE T-SHIRT NAVY,1.3452161442327393,NA,NA,T-SHIRT,-10.9,1.0,-10.9,Ern Yi Te,Offline,-0.99,72.08029741763136,73.53508931698775,NA,NA,79.89970928196146
82754,2024-07-01,12:36:05,CHATSWOOD,NSW,ADLV-23FW-KNLBCT-YLW,2300,ADLV BIG CUTTING LOGO KNIT YELLOW,2.0,8809932244399,LOGO PLAY,KNIT/CARDIGAN,229.0,1.0,229.0,Ern Yi Te,Offline,20.82,106.43,106.43,48.88,48.88,122.57
