Order_ID,Date,Time,Outlet,State,Model,ProductID,ProductName,Option,ItemBarcode,Brand,Department,Price,Qty,Revenue,Sales Person,Platform,Tax,Avg.Cost(AUD),L.Cost(AUD),GP%(Avg.Cost),GP%(L.Cost),Profit
90755,2024-10-01,09:48:48,QV MELBOURNE,VIC,ADLV-23FW-LSATHK-BPP,2143,ADLV X SANRIO HELLO KITTY ARTWORK LONG SLEEVE T-SHIRT BLUE PURPLE,2,8809932246164.0,ADLV X HELLO KITTY,LONG SLEEVE T-SHIRT,119.0,1.0,119.0,Website Admin,Online,10.82,56.93,56.93,47.38,47.38,62.07
90755,2024-10-01,09:48:48,QV MELBOURNE,VIC,13876-PRODUCT-DISCOUNT,0,L-SALES [60%]<br /> - ADLV X SANRIO HELLO KITTY ARTWORK LONG SLEEVE T-SHIRT BLUE PURPLE,NA,8494068525813.386,NA,LONG SLEEVE T-SHIRT,-71.4,1.0,-71.4,Website Admin,Online,-6.49,62.137158555729975,61.61520635621276,52.34146139913968,51.87755829748698,75.61848598543368
90756,2024-10-01,10:34:06,CHATSWOOD,NSW,ADLV-24SS-SSARTB-CRM,2672,RABBIT T-SHIRT BEAR SHORT SLEEVE T-SHIRT CREAM,1,8809977038526.0,ART WORK,T-SHIRT,109.0,1.0,109.0,Pat S,Offline,9.91,45.75,45.75,53.83,53.83,63.25
90757,2024-10-01,10:36:05,CHADSTONE,VIC,ADLV-24SS-SSABAQ-CHA,2597,BEAR APPLIQUE PIGMENT WASHING SHORT SLEEVE T-SHIRT CHARCOAL,2,8809977036461.0,ART WORK,T-SHIRT,119.0,1.0,119.0,Website Admin,Online,10.82,56.93,56.93,47.38,47.38,62.07
90757,2024-10-01,10:36:05,CHADSTONE,VIC,ADLV-24SS-SSABAQ-BEG,2598,BEAR APPLIQUE PIGMENT WASHING SHORT SLEEVE T-SHIRT BEIGE,2,8809977036485.0,ART WORK,T-SHIRT,119.0,1.0,119.0,Website Admin,Online,10.82,56.93,56.93,47.38,47.38,62.07
90758,2024-10-01,10:49:33,CHATSWOOD,NSW,ADLV-24SS-SSBAPG-WHT,2631,THE POWERPUFF GIRLS X acmé de la vie big printing artwork t-shirts  WHITE,2,8809977037451.0,ADLV X POWERPUFF GIRLS,T-SHIRT,109.0,1.0,109.0,Pat S,Offline,9.91,45.75,45.75,53.83,53.83,63.25
90758,2024-10-01,10:49:33,CHATSWOOD,NSW,ADLV-22SS-SPSWWV-SBL,1261,SWIM WOVEN SHORT PANTS SKYBLUE,2,8809860420155.0,LOGO PLAY,BOTTOM (SHORTS),169.0,1.0,169.0,Pat S,Offline,15.36,81.68,81.68,46.84,46.84,87.32
90759,2024-10-01,11:09:29,CHADSTONE,VIC,ADLV-23FW-SSAFZB-LPK,2257,FUZZY BEAR SHORT SLEEVE T-SHIRT LIGHT PINK,1,8809932245938.0,ART WORK,T-SHIRT,109.0,1.0,109.0,Evelyn Yang,Offline,9.91,48.68,48.68,50.87,50.87,60.32
90760,2024-10-01,11:18:15,THE GLEN,VIC,24FW-TP-HD-AW-BBH-BLK,2760,[acmé de la vie X HOSHI]  BLOCK BEAR HOODIE BLACK,1,8800270902972.0,HOSHI X ADLV,HOODIES,189.0,1.0,189.0,Victor Z,Offline,17.18,84.53,84.53,50.8,50.8,104.47
90760,2024-10-01,11:18:15,THE GLEN,VIC,24FW-TP-HD-AW-BBH-BLK,2760,[acmé de la vie X HOSHI]  BLOCK BEAR HOODIE BLACK,2,8800270902989.0,HOSHI X ADLV,HOODIES,189.0,1.0,189.0,Victor Z,Offline,17.18,84.53,84.53,50.8,50.8,104.47
